cpu_core_1_usage,cpu_core_2_usage,cpu_core_3_usage,cpu_core_4_usage,cpu_core_5_usage,cpu_core_6_usage,cpu_core_7_usage,cpu_core_8_usage,cpu_core_9_usage,cpu_core_10_usage,cpu_core_11_usage,cpu_core_12_usage,cpu_core_13_usage,cpu_core_14_usage,cpu_core_15_usage,cpu_core_16_usage,cpu_speed_mhz,gpu_usage,gpu_temperature,ram_usage,label,cpu_usage_avg,disk_read_bytes_delta,disk_write_bytes_delta,net_bytes_sent_delta,net_bytes_recv_delta,cpu_speed_mhz_10s_mean,cpu_speed_mhz_10s_std,gpu_usage_10s_mean,gpu_usage_10s_std,gpu_temperature_10s_mean,gpu_temperature_10s_std,ram_usage_10s_mean,ram_usage_10s_std,cpu_usage_avg_10s_mean,cpu_usage_avg_10s_std,disk_read_bytes_delta_10s_mean,disk_read_bytes_delta_10s_std,disk_write_bytes_delta_10s_mean,disk_write_bytes_delta_10s_std,net_bytes_sent_delta_10s_mean,net_bytes_sent_delta_10s_std,net_bytes_recv_delta_10s_mean,net_bytes_recv_delta_10s_std
14.8,8.9,15.3,7.6,10.6,6.7,7.2,4.5,6.1,5.1,9.8,5.1,9.7,6.2,8.5,3.6,2566.0,1.0,52.0,37.8,blue,8.10625,0.0,0.0,0.0,0.0,2566.0,0.0,1.0,0.0,52.0,0.0,37.8,0.0,8.10625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.6,6.2,3.1,4.7,1.6,1.6,3.2,1.6,1.6,6.2,0.0,1.6,0.0,0.0,1.6,2566.0,0.0,51.0,37.8,blue,2.1625000000000005,32768.0,40960.0,0.0,0.0,2566.0,0.0,0.5,0.7071067811865476,51.5,0.7071067811865476,37.8,0.0,5.134375,4.202865930677541,16384.0,23170.47500592079,20480.0,28963.093757400988,0.0,0.0,0.0,0.0
3.0,0.0,6.2,4.8,7.8,3.1,3.1,1.5,3.1,3.2,1.6,0.0,3.1,1.6,0.0,0.0,2566.0,0.0,51.0,37.6,blue,2.6312500000000005,0.0,0.0,42.0,42.0,2566.0,0.0,0.3333333333333333,0.5773502691896258,51.333333333333336,0.5773502691896263,37.73333333333333,0.11547005383792372,4.3,3.3046309835592838,10922.666666666666,18918.61362080566,13653.333333333334,23648.26702600707,14.0,24.24871130596428,14.0,24.24871130596428
11.9,1.6,7.8,0.0,4.8,0.0,7.9,1.6,4.8,0.0,3.2,0.0,0.0,1.6,0.0,0.0,2566.0,0.0,51.0,37.8,blue,2.825,0.0,28672.0,0.0,0.0,2566.0,0.0,0.25,0.5,51.25,0.5000000000000006,37.75,0.09999999999999827,3.9312500000000004,2.7971944649952385,8192.0,16384.0,17408.0,20717.555582967147,10.5,21.0,10.5,21.0
10.3,1.5,1.6,1.5,1.5,0.0,3.1,0.0,3.1,1.5,7.7,4.7,4.6,1.5,1.5,0.0,2566.0,18.0,51.0,37.8,blue,2.75625,0.0,40960.0,0.0,0.0,2566.0,0.0,3.8,7.949842765740716,51.2,0.44721359549995865,37.76,0.08944271909998991,3.69625,2.4787794690633533,6553.6,14654.295097342623,22118.4,20805.099682529763,8.4,18.782971010998235,8.4,18.782971010998235
1.6,1.6,3.1,0.0,9.1,1.6,1.6,3.1,0.0,1.6,1.6,1.5,1.6,0.0,1.6,0.0,2566.0,0.0,51.0,37.7,blue,1.8500000000000005,0.0,0.0,0.0,0.0,2566.0,0.0,3.1666666666666665,7.277820186475251,51.166666666666664,0.408248290463864,37.75,0.08366600265340562,3.388541666666667,2.3417054971572893,5461.333333333333,13377.479981919863,18432.0,20683.786113765535,7.0,17.146428199482248,7.0,17.146428199482248
1.6,3.1,3.1,1.6,1.6,0.0,0.0,0.0,1.6,0.0,1.5,0.0,0.0,4.5,1.5,0.0,2566.0,0.0,51.0,37.7,blue,1.25625,0.0,0.0,0.0,0.0,2566.0,0.0,2.7142857142857144,6.750661343263233,51.142857142857146,0.37796447300922836,37.74285714285714,0.07867957924694219,3.083928571428572,2.2845519970841006,4681.142857142857,12385.139851566359,15798.857142857143,20125.85225879533,6.0,15.874507866387544,6.0,15.874507866387544
3.1,0.0,4.7,0.0,1.6,3.1,3.1,4.8,6.2,0.0,1.6,1.6,0.0,0.0,1.5,0.0,2566.0,0.0,51.0,37.7,blue,1.95625,0.0,0.0,177.0,125.0,2566.0,0.0,2.375,6.323143431644015,51.125,0.35355339059327484,37.7375,0.07440238091428213,2.9429687500000004,2.1523332374321957,4096.0,11585.237502960395,13824.0,19452.14999501524,27.375,62.218365455868415,20.875,44.565962347962376
1.6,1.5,0.0,0.0,3.1,0.0,1.6,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,2566.0,0.0,51.0,37.7,blue,0.6875,0.0,0.0,0.0,0.0,2566.0,0.0,2.111111111111111,5.967504596656052,51.111111111111114,0.3333333333333344,37.733333333333334,0.07071067811865234,2.6923611111111114,2.1491181371346504,3640.8888888888887,10922.666666666668,12288.0,18770.23004653912,24.333333333333332,58.91094974620592,18.555555555555557,42.264379538540226
0.0,0.0,1.6,3.1,0.0,0.0,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,1.6,0.0,2566.0,0.0,51.0,37.5,blue,0.6749999999999999,0.0,114688.0,0.0,0.0,2566.0,0.0,1.9,5.6656861896861175,51.1,0.31622776601683905,37.71,0.09944289260117402,2.490625,2.124263046231171,3276.8,10362.151436839746,22528.0,36901.906436750214,21.9,56.072274788882964,16.7,40.27695784606048
3.1,0.0,4.7,0.0,6.2,3.1,1.6,0.0,4.7,1.6,0.0,0.0,1.6,1.5,1.4,3.2,2566.0,0.0,51.0,37.6,blue,2.04375,0.0,0.0,0.0,0.0,2566.0,0.0,1.8,5.692099788303083,51.0,0.0,37.69,0.09944289260117477,1.8843750000000004,0.7889165500334414,3276.8,10362.151436839746,22528.0,36901.906436750214,21.9,56.072274788882964,16.7,40.27695784606048
